MCP_TOOL	CLI_COMMAND	DOMAIN_FLAGS(name=type)
mcp__uw-pp__dark_pool_block_stratified	uw dark-pool block-stratified	--date=string;--min-tier=string;--symbol=string;--top-n=int
mcp__uw-pp__dark_pool_extended_hours	uw dark-pool extended-hours	--date=string;--symbol=string;--top-n=int
mcp__uw-pp__dark_pool_largest	uw dark-pool largest	--date=string;--sort-by=string;--symbol=string;--top-n=int
mcp__uw-pp__dark_pool_price_levels	uw dark-pool price-levels	--date=string;--days=int;--symbol=string;--top-n=int
mcp__uw-pp__dark_pool_ticker_summary	uw dark-pool ticker-summary	--date=string;--top-n=int
mcp__uw-pp__historical_available_dates	uw historical available-dates	(none)
mcp__uw-pp__historical_cumulative_premium_flow	uw historical cumulative-premium-flow	--days=int;--symbol=string
mcp__uw-pp__historical_gex_time_series	uw historical gex-time-series	--days=int;--dte-max=int;--symbol=string
mcp__uw-pp__historical_iv_percentile_zscore	uw historical iv-percentile-zscore	--lookback-days=int;--symbol=string
mcp__uw-pp__historical_oi_trend	uw historical oi-trend	--days=int;--symbol=string;--top-n=int
mcp__uw-pp__historical_pc_ratio_zscore	uw historical pc-ratio-zscore	--lookback-days=int;--symbol=string
mcp__uw-pp__historical_signal_backtest	uw historical signal-backtest	--lookback-days=int;--signal-type=string;--top-n=int
mcp__uw-pp__historical_trend	uw historical trend	--days=int;--symbol=string
mcp__uw-pp__historical_vrp	uw historical vrp	--date=string;--realised-window-days=int;--symbol=string
mcp__uw-pp__hot_chains_most_active	uw hot-chains most-active	--date=string;--sector=string;--sort-by=string;--top-n=int
mcp__uw-pp__hot_chains_multileg	uw hot-chains multileg	--date=string;--min-multileg-ratio=float;--top-n=int
mcp__uw-pp__hot_chains_smart_money_flow	uw hot-chains smart-money-flow	--date=string;--direction=string;--min-volume=int;--top-n=int
mcp__uw-pp__hot_chains_sweep_persistence	uw hot-chains sweep-persistence	--days=int;--symbol=string;--top-n=int
mcp__uw-pp__hot_chains_sweep_ratio	uw hot-chains sweep-ratio	--date=string;--min-sweep-ratio=float;--min-volume=int;--top-n=int
mcp__uw-pp__insights_analyst_vs_flow	uw insights analyst-vs-flow	--date=string;--symbol=string
mcp__uw-pp__insights_conviction_matrix	uw insights conviction-matrix	--bear-threshold=float;--bull-threshold=float;--date=string;--symbol=string
mcp__uw-pp__insights_deep_dive	uw insights deep-dive	--date=string;--symbol=string
mcp__uw-pp__insights_earnings_play	uw insights earnings-play	--date=string;--days-until-earnings=int;--min-iv-rank=float;--top-n=int
mcp__uw-pp__insights_institutional_accumulation	uw insights institutional-accumulation	--date=string;--symbol=string
mcp__uw-pp__insights_price_vs_flow	uw insights price-vs-flow	--date=string;--lookback-days=int;--symbol=string
mcp__uw-pp__insights_signal_confluence	uw insights signal-confluence	--date=string;--direction=string;--min-score=int;--top-n=int
mcp__uw-pp__oi_biggest_increases	uw oi biggest-increases	--date=string;--max-dte=int;--min-dte=int;--min-oi-change=int;--symbol=string;--top-n=int
mcp__uw-pp__oi_decrease_with_volume	uw oi decrease-with-volume	--date=string;--min-volume=int;--symbol=string;--top-n=int
mcp__uw-pp__oi_opex_concentration	uw oi opex-concentration	--date=string;--min-concentration-pct=float;--min-total-oi=int;--top-n=int
mcp__uw-pp__oi_pin_risk	uw oi pin-risk	--date=string;--dte-max=int;--max-distance-pct=float;--min-total-oi=int;--top-n=int
mcp__uw-pp__oi_position_rolls	uw oi position-rolls	--date=string;--near-dte-max=int;--symbol=string;--threshold=int
mcp__uw-pp__oi_smart_positioning	uw oi smart-positioning	--date=string;--direction=string;--min-oi-change=int;--symbol=string;--top-n=int
mcp__uw-pp__options_flow_dte_volume_share	uw options-flow dte-volume-share	--date=string;--symbol=string
mcp__uw-pp__options_flow_expiry_heatmap	uw options-flow expiry-heatmap	--date=string;--symbol=string;--top-n=int
mcp__uw-pp__options_flow_greek_screener	uw options-flow greek-screener	--date=string;--max-delta=float;--min-delta=float;--min-gamma=float;--min-vega=float;--sort-by=string;--symbol=string;--top-n=int
mcp__uw-pp__options_flow_iv_outliers	uw options-flow iv-outliers	--date=string;--min-iv=float;--min-volume=int;--symbol=string;--top-n=int
mcp__uw-pp__options_flow_sector_flow	uw options-flow sector-flow	--date=string
mcp__uw-pp__options_flow_sector_flow_persistence	uw options-flow sector-flow-persistence	--days=int
mcp__uw-pp__options_flow_sweeps	uw options-flow sweeps	--date=string;--min-premium=float;--side=string;--symbol=string;--top-n=int
mcp__uw-pp__options_flow_top_premium_trades	uw options-flow top-premium-trades	--date=string;--option-type=string;--sector=string;--symbol=string;--top-n=int
mcp__uw-pp__options_flow_unusual_volume	uw options-flow unusual-volume	--date=string;--min-vol-oi-ratio=float;--min-volume=int;--symbol=string;--top-n=int
mcp__uw-pp__options_structure_dex	uw options-structure dex	--date=string;--dte-max=int;--symbol=string
mcp__uw-pp__options_structure_front_end_iv_ratio	uw options-structure front-end-iv-ratio	--date=string;--far-dte=int;--near-dte=int;--symbol=string
mcp__uw-pp__options_structure_gex	uw options-structure gex	--date=string;--dte-max=int;--include-zero-gamma=Compute;--symbol=string
mcp__uw-pp__options_structure_iv_term_structure	uw options-structure iv-term-structure	--date=string;--symbol=string
mcp__uw-pp__options_structure_term_skew	uw options-structure term-skew	--date=string;--dte-target=int;--symbol=string
mcp__uw-pp__options_structure_today_gamma_flip	uw options-structure today-gamma-flip	--date=string;--symbol=string
mcp__uw-pp__options_structure_vanna_charm	uw options-structure vanna-charm	--date=string;--dte-max=int;--symbol=string
mcp__uw-pp__playbook_batch_scan	uw playbook batch-scan	--date=string;--symbols=strings
mcp__uw-pp__playbook_daily_synthesis	uw playbook daily-synthesis	--date=string;--watchlist-group=string
mcp__uw-pp__playbook_suggest_strategy	uw playbook suggest-strategy	--date=string;--symbol=string
mcp__uw-pp__risk_market_regime	uw risk market-regime	--date=string
mcp__uw-pp__risk_portfolio_correlation	uw risk portfolio-correlation	--lookback-days=int;--symbols=strings
